SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
825,Stellar,XLM,11/7/2016 23:59,0.00202896,0.00192429,0.00196932,0.00201286,34635.39844,13790816.4
826,Stellar,XLM,11/8/2016 23:59,0.00202873,0.00196538,0.00201315,0.0019859,30553.30078,13606103.89
827,Stellar,XLM,11/9/2016 23:59,0.00201367,0.00193786,0.00199358,0.00196812,44284.30078,13484286.82
828,Stellar,XLM,11/10/2016 23:59,0.00200322,0.00192849,0.00196842,0.00194791,36825.10156,13345820.96
829,Stellar,XLM,11/11/2016 23:59,0.00199165,0.00189663,0.00194813,0.00191303,38438.39844,13106845.73
830,Stellar,XLM,11/12/2016 23:59,0.00192429,0.00187635,0.00191281,0.00189891,24842.19922,13010104.61
831,Stellar,XLM,11/13/2016 23:59,0.00193118,0.00187772,0.00189889,0.00189552,30930.09961,12986878.52
832,Stellar,XLM,11/14/2016 23:59,0.00191487,0.00186694,0.00189541,0.00187964,32400.80078,12878079.02
833,Stellar,XLM,11/15/2016 23:59,0.00188429,0.0018142,0.00188341,0.00185257,26786.69922,12692612.87
834,Stellar,XLM,11/16/2016 23:59,0.00186847,0.00175584,0.00185181,0.00177164,43748.80078,12138132.79
835,Stellar,XLM,11/17/2016 23:59,0.0018598,0.00173418,0.0017748,0.00181996,74553.60156,12469190.21
836,Stellar,XLM,11/18/2016 23:59,0.00183177,0.00175673,0.00181197,0.00180666,21364.19922,12378067.21
837,Stellar,XLM,11/19/2016 23:59,0.00182896,0.00175609,0.00180619,0.00179639,9237.389648,12307703.8
838,Stellar,XLM,11/20/2016 23:59,0.00180615,0.00175306,0.00179654,0.00176012,17976.90039,12059205.19
839,Stellar,XLM,11/21/2016 23:59,0.00179769,0.00174511,0.00175959,0.00175535,4924.52002,12026524.23
840,Stellar,XLM,11/22/2016 23:59,0.00179698,0.00171152,0.00175482,0.0017353,32403,11889154.58
841,Stellar,XLM,11/23/2016 23:59,0.00175252,0.00171862,0.00172691,0.00173333,21587.5,11875657.42
842,Stellar,XLM,11/24/2016 23:59,0.00174067,0.00168676,0.00173297,0.00169114,35767.5,11586598.79
843,Stellar,XLM,11/25/2016 23:59,0.00172917,0.00167214,0.00169075,0.00172164,13353.5,11795565.09
844,Stellar,XLM,11/26/2016 23:59,0.00171744,0.00160519,0.00171744,0.00164895,31598,11297540.17
845,Stellar,XLM,11/27/2016 23:59,0.00168761,0.00164171,0.00164857,0.00166466,7384.029785,11405174.94
846,Stellar,XLM,11/28/2016 23:59,0.00169399,0.00165287,0.00166475,0.00165533,13301.2998,11341251.81
847,Stellar,XLM,11/29/2016 23:59,0.00169097,0.00163568,0.00165528,0.00166661,9852.80957,11418535.08
848,Stellar,XLM,11/30/2016 23:59,0.00168818,0.00161297,0.00166642,0.00162919,15504.90039,11162157.41
849,Stellar,XLM,12/1/2016 23:59,0.00167213,0.00154325,0.00162949,0.00161886,60747.19922,11091382.93
850,Stellar,XLM,12/2/2016 23:59,0.00162082,0.00148726,0.00162041,0.00152874,29715,10473938.9
851,Stellar,XLM,12/3/2016 23:59,0.00160583,0.00151331,0.00152909,0.00159157,29494.59961,10904409.47
